serial,sex,race,labforce,empstat,statefip,year
4723,2,100,2,10,6,2021
4723,1,100,2,10,6,2021
4725,1,100,2,10,6,2021
4725,2,100,0,0,6,2021
4725,1,100,1,34,6,2021
4725,1,100,2,10,6,2021
4725,2,100,1,34,6,2021
4726,2,100,2,10,6,2021
4726,1,651,2,10,6,2021
4726,1,803,0,0,6,2021
4727,1,100,1,36,6,2021
4727,2,100,1,36,6,2021
4728,1,100,2,10,6,2021
4728,2,100,2,10,6,2021
4729,2,100,2,10,6,2021
4729,1,100,2,10,6,2021
4729,1,100,1,34,6,2021
4730,2,100,1,36,6,2021
4730,1,100,1,36,6,2021
4732,2,200,2,10,6,2021
4732,1,200,2,10,6,2021
4732,1,200,0,0,6,2021
4732,1,200,0,0,6,2021
4732,1,200,0,0,6,2021
4735,2,100,1,34,6,2021
4735,2,100,2,10,6,2021
4735,2,100,1,34,6,2021
4738,1,100,2,10,6,2021
4738,2,100,2,10,6,2021
4739,2,100,1,36,6,2021
4739,1,100,2,10,6,2021
4740,2,802,2,10,6,2021
4740,2,802,1,34,6,2021
4741,1,100,2,10,6,2021
4741,2,100,2,10,6,2021
4741,2,100,1,34,6,2021
4741,1,100,2,10,6,2021
4743,1,200,2,10,6,2021
4744,2,100,2,10,6,2021
4744,1,100,1,34,6,2021
4744,1,100,1,34,6,2021
4744,2,100,1,34,6,2021
4745,2,100,1,34,6,2021
4745,1,100,2,10,6,2021
4745,1,100,0,0,6,2021
4745,2,100,0,0,6,2021
4745,2,100,1,34,6,2021
4747,2,100,1,36,6,2021
4747,2,100,2,10,6,2021
4748,1,651,2,10,6,2021
4748,2,100,2,10,6,2021
4748,1,100,1,34,6,2021
4749,2,100,2,21,6,2021
4749,1,100,2,21,6,2021
4750,2,300,2,10,6,2021
4750,1,652,2,10,6,2021
4752,1,100,1,36,6,2021
4752,2,100,1,36,6,2021
4754,1,100,1,36,6,2021
4754,2,100,2,10,6,2021
4756,1,100,2,10,6,2021
4756,2,100,1,36,6,2021
4756,2,100,1,34,6,2021
4757,1,651,2,10,6,2021
4757,2,651,2,10,6,2021
4757,2,651,0,0,6,2021
4757,1,651,0,0,6,2021
4758,1,100,1,36,6,2021
4760,2,100,2,10,6,2021
4761,2,100,1,34,6,2021
4761,1,100,2,21,6,2021
4763,1,100,1,36,6,2021
4764,2,100,2,21,6,2021
4764,1,100,2,10,6,2021
4767,2,100,2,10,6,2021
4767,1,100,2,10,6,2021
4768,2,651,2,10,6,2021
4768,1,651,1,34,6,2021
4768,2,651,0,0,6,2021
4768,2,651,0,0,6,2021
4768,2,651,1,36,6,2021
4768,1,651,1,36,6,2021
4769,1,651,2,10,6,2021
4769,2,651,2,10,6,2021
4770,1,651,1,34,6,2021
4771,2,100,1,36,6,2021
4771,1,100,2,12,6,2021
4771,2,100,2,10,6,2021
4771,2,100,2,10,6,2021
4771,1,100,0,0,6,2021
4771,2,100,2,10,6,2021
4771,2,100,2,21,6,2021
4771,1,100,1,34,6,2021
4771,2,100,1,34,6,2021
4771,1,100,2,10,6,2021
4771,2,100,2,10,6,2021
4772,1,100,2,10,6,2021
4773,1,100,2,10,6,2021
4773,1,100,2,10,6,2021
4774,1,651,2,10,6,2021
4776,2,100,2,21,6,2021
4776,1,100,2,10,6,2021
4776,2,100,2,10,6,2021
4776,2,100,0,0,6,2021
4777,1,100,2,10,6,2021
4777,2,100,1,36,6,2021
4778,1,100,2,10,6,2021
4778,1,100,2,10,6,2021
4778,2,100,2,10,6,2021
4780,1,100,1,32,6,2021
4780,2,100,2,10,6,2021
4780,1,100,2,10,6,2021
4781,1,100,2,10,6,2021
4781,2,100,2,10,6,2021
4783,1,651,2,10,6,2021
4783,2,651,2,10,6,2021
4784,1,100,1,36,6,2021
4784,1,100,1,34,6,2021
4784,1,100,2,10,6,2021
4787,2,100,2,10,6,2021
4788,1,100,1,36,6,2021
4789,1,651,2,10,6,2021
4789,2,651,2,10,6,2021
4789,1,651,0,0,6,2021
4790,2,100,1,36,6,2021
4790,2,100,1,34,6,2021
4791,1,100,1,34,6,2021
4791,1,100,2,10,6,2021
4791,2,100,2,10,6,2021
4791,1,100,2,10,6,2021
4792,1,100,1,36,6,2021
4792,2,100,1,36,6,2021
4792,1,100,2,10,6,2021
4793,1,100,1,32,6,2021
4793,1,100,1,36,6,2021
4794,1,200,2,10,6,2021
4794,2,100,2,10,6,2021
4794,2,801,2,10,6,2021
4795,2,100,2,10,6,2021
4795,1,200,2,10,6,2021
4795,1,200,0,0,6,2021
4795,1,200,0,0,6,2021
4795,2,100,1,34,6,2021
4796,1,100,2,10,6,2021
4796,2,100,1,34,6,2021
4796,1,100,0,0,6,2021
4796,2,100,0,0,6,2021
4796,1,100,0,0,6,2021
4797,1,651,2,10,6,2021
4798,1,651,1,36,6,2021
4798,2,651,1,32,6,2021
4799,2,651,1,34,6,2021
4799,1,651,2,10,6,2021
4799,1,651,0,0,6,2021
4799,1,651,1,34,6,2021
4799,1,651,1,34,6,2021
4800,1,651,2,10,6,2021
4801,1,100,2,10,6,2021
4802,1,100,2,12,6,2021
4804,1,100,2,10,6,2021
4804,2,100,2,10,6,2021
4805,1,100,2,10,6,2021
4805,2,100,2,10,6,2021
4805,1,100,0,0,6,2021
4805,2,100,0,0,6,2021
4807,2,100,2,10,6,2021
4808,1,100,2,10,6,2021
4808,2,100,1,34,6,2021
4809,1,100,2,21,6,2021
4809,2,651,2,21,6,2021
4810,1,100,2,10,6,2021
4810,2,100,2,21,6,2021
4810,1,100,2,10,6,2021
4810,2,100,1,34,6,2021
4811,1,100,2,10,6,2021
4811,2,100,2,10,6,2021
4811,2,100,0,0,6,2021
4812,1,100,2,10,6,2021
4812,2,100,2,10,6,2021
4812,2,100,0,0,6,2021
4812,2,100,0,0,6,2021
4812,2,100,0,0,6,2021
4813,1,651,1,34,6,2021
4813,2,651,2,10,6,2021
4813,1,651,1,34,6,2021
4813,1,651,2,10,6,2021
4814,2,651,2,10,6,2021
4814,1,651,2,10,6,2021
4814,1,651,0,0,6,2021
4815,2,100,1,34,6,2021
4815,1,100,2,10,6,2021
4815,2,100,0,0,6,2021
4815,1,100,0,0,6,2021
4815,1,100,0,0,6,2021
4817,2,100,1,36,6,2021
4818,2,651,2,10,6,2021
4818,1,100,2,10,6,2021
4818,2,803,0,0,6,2021
4818,2,803,0,0,6,2021
4820,2,100,2,10,6,2021
4820,1,100,2,10,6,2021
4820,1,100,2,10,6,2021
4820,1,100,2,10,6,2021
4821,1,200,1,36,6,2021
4823,2,100,2,10,6,2021
4823,1,100,2,21,6,2021
4825,1,100,2,10,6,2021
4825,2,100,2,10,6,2021
4825,1,100,2,12,6,2021
4825,1,100,2,10,6,2021
4825,1,100,1,34,6,2021
4825,1,100,1,34,6,2021
4826,1,651,1,36,6,2021
4826,2,651,1,36,6,2021
4827,1,100,1,36,6,2021
4827,2,100,1,36,6,2021
4829,1,100,2,10,6,2021
4829,2,100,1,32,6,2021
4829,1,100,0,0,6,2021
4829,2,100,2,10,6,2021
4831,1,100,2,10,6,2021
4831,2,100,2,10,6,2021
4834,1,100,1,36,6,2021
4834,2,651,1,36,6,2021
4835,1,100,2,10,6,2021
4835,2,100,2,22,6,2021
4835,2,100,0,0,6,2021
4835,2,100,2,21,6,2021
4835,1,100,2,10,6,2021
4836,2,100,1,36,6,2021
4836,1,100,1,36,6,2021
4838,2,100,2,10,6,2021
4838,1,100,2,10,6,2021
4839,1,100,2,21,6,2021
4839,2,651,2,10,6,2021
4841,1,100,1,36,6,2021
4841,2,100,1,36,6,2021
4842,2,100,2,10,6,2021
4846,2,806,2,10,6,2021
4846,1,651,1,34,6,2021
4846,2,651,1,34,6,2021
4846,1,651,1,34,6,2021
4846,2,651,2,21,6,2021
4847,2,100,1,36,6,2021
4848,1,100,2,10,6,2021
4848,2,100,1,34,6,2021
4848,1,100,0,0,6,2021
4848,1,100,0,0,6,2021
4849,1,100,2,10,6,2021
4849,2,100,2,10,6,2021
4849,1,100,0,0,6,2021
4849,2,100,2,10,6,2021
4850,1,651,2,10,6,2021
4850,2,651,1,34,6,2021
4851,1,100,2,10,6,2021
4851,1,100,2,10,6,2021
4851,1,100,2,10,6,2021
4852,2,200,1,34,6,2021
4852,1,200,2,10,6,2021
4852,1,200,0,0,6,2021
4853,1,100,2,10,6,2021
4853,2,100,2,10,6,2021
4853,2,100,0,0,6,2021
4853,1,100,2,10,6,2021
4854,2,100,2,10,6,2021
4854,2,100,0,0,6,2021
4854,2,100,0,0,6,2021
4854,1,100,0,0,6,2021
4854,2,100,1,34,6,2021
4855,2,100,2,10,6,2021
4859,2,100,1,32,6,2021
4859,2,100,1,36,6,2021
4860,2,100,1,34,6,2021
4860,1,100,2,10,6,2021
4863,1,100,2,10,6,2021
4867,2,100,1,34,6,2021
4867,1,100,1,34,6,2021
4867,2,100,1,34,6,2021
4867,1,100,1,34,6,2021
4867,1,100,1,34,6,2021
4869,2,801,2,10,6,2021
4870,1,100,2,10,6,2021
4870,2,100,1,34,6,2021
4871,1,100,2,10,6,2021
4871,2,100,2,10,6,2021
4872,1,100,2,10,6,2021
4872,2,100,2,10,6,2021
4873,2,100,2,10,6,2021
4873,2,100,1,34,6,2021
4873,2,100,2,10,6,2021
4875,2,100,2,10,6,2021
4875,1,100,2,10,6,2021
4876,2,100,1,32,6,2021
4876,2,100,2,10,6,2021
4876,1,100,0,0,6,2021
4877,2,200,2,10,6,2021
4877,1,200,1,34,6,2021
4877,1,200,1,34,6,2021
4878,2,100,1,36,6,2021
4879,1,100,1,36,6,2021
4880,2,651,2,10,6,2021
4880,2,651,0,0,6,2021
4881,2,100,1,36,6,2021
4881,1,100,1,36,6,2021
4881,2,100,2,12,6,2021
4884,2,100,2,10,6,2021
4884,1,100,0,0,6,2021
4884,1,100,0,0,6,2021
4887,2,100,2,10,6,2021
4889,1,100,2,21,6,2021
4889,2,100,2,10,6,2021
4889,1,100,1,34,6,2021
4892,2,100,1,32,6,2021
4892,1,100,1,36,6,2021
4896,2,100,1,36,6,2021
4900,1,100,2,10,6,2021
4900,1,100,2,10,6,2021
4904,1,100,2,10,6,2021
4905,2,100,1,36,6,2021
4905,1,100,1,36,6,2021
4907,2,100,2,10,6,2021
4907,1,100,2,10,6,2021
4907,1,100,0,0,6,2021
4907,2,100,0,0,6,2021
4907,2,100,0,0,6,2021
4907,2,100,0,0,6,2021
4907,2,100,1,34,6,2021
4907,2,100,1,34,6,2021
4908,2,100,2,10,6,2021
4908,1,100,2,10,6,2021
4909,1,100,2,10,6,2021
4909,2,100,1,36,6,2021
4910,2,100,2,10,6,2021
4911,1,100,2,10,6,2021
4911,2,100,2,10,6,2021
4911,1,100,0,0,6,2021
4911,2,100,1,34,6,2021
4912,2,200,2,10,6,2021
4912,1,200,1,34,6,2021
4913,2,100,2,10,6,2021
4915,2,651,2,10,6,2021
4915,1,651,2,10,6,2021
4915,2,651,1,34,6,2021
4917,2,100,2,10,6,2021
4918,1,651,2,10,6,2021
4918,2,651,1,34,6,2021
4918,1,651,2,10,6,2021
4918,1,651,1,34,6,2021
4919,2,100,2,10,6,2021
4919,1,100,2,10,6,2021
4919,1,100,2,10,6,2021
4919,2,100,2,10,6,2021
4922,1,100,2,10,6,2021
4922,1,100,2,10,6,2021
4922,1,100,2,10,6,2021
4922,1,100,1,34,6,2021
